# y, nut, U, k, omega
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.149748934264958953e+05
-9.996988186962042500e-01,7.007517215569235355e-14,3.501930418823802349e-03,5.313173107852575194e-09,7.582104965860446100e+04
-9.987954562051724050e-01,4.987676434327256240e-12,1.399931655085367641e-02,7.648251827120415642e-08,1.533429830066993418e+04
-9.972904566786902070e-01,1.802636560619307510e-10,3.146696056818998333e-02,7.306645572679169640e-07,4.053310430011538756e+03
-9.951847266721968177e-01,3.237188299352231493e-09,5.586285668933556325e-02,4.482947997200746211e-06,1.384827690776371355e+03
-9.924795345987099671e-01,3.381139083191069208e-08,8.712729696774164367e-02,1.947559132624309382e-05,5.760068085652363834e+02
-9.891765099647810144e-01,2.364893268826022022e-07,1.251753489811824327e-01,6.570279731790352920e-05,2.778256346025764287e+02
-9.852776423889412216e-01,1.218141078862431550e-06,1.698575270258416703e-01,1.835511260582054372e-04,1.506813367049326757e+02
-9.807852804032304306e-01,4.882952218087027320e-06,2.208157153120329785e-01,4.416164403425385638e-04,9.044045909494555247e+01
-9.757021300385284590e-01,1.564390263491993906e-05,2.771219786946514940e-01,9.318229297594587783e-04,5.956460810995619681e+01
-9.700312531945439742e-01,4.061090373380714884e-05,3.367725016951711448e-01,1.727494145786734889e-03,4.253769276127682275e+01
-9.637760657954398402e-01,8.696188869396316915e-05,3.966734378208451872e-01,2.806208700020062022e-03,3.226940838296763303e+01
-9.569403357322088244e-01,1.583072486226014296e-04,4.536988917979898339e-01,4.027310465995487081e-03,2.543983614797036097e+01
-9.495281805930366748e-01,2.541274891828199448e-04,5.059111908249145362e-01,5.219798227375198850e-03,2.054007712490911786e+01
-9.415440651830206953e-01,3.718070447751705364e-04,5.527495449312768150e-01,6.271197779938272876e-03,1.686680730788691918e+01
-9.329927988347388457e-01,5.083619283668763551e-04,5.944970399093206792e-01,7.140460675042356598e-03,1.404601776136279057e+01
-9.238795325112867385e-01,6.611011391143044790e-04,6.317633801606581390e-01,7.831018880058576714e-03,1.184541731473867188e+01
-9.142097557035306910e-01,8.277225657675520848e-04,6.652047775654728046e-01,8.364943642335091051e-03,1.010597510359976958e+01
-9.039892931234433382e-01,1.006244531585685949e-03,6.954136454601950179e-01,8.768424188145960974e-03,8.714009281946461627e+00
-8.932243011955152134e-01,1.194921831200365095e-03,7.228899416395567767e-01,9.065604978359053170e-03,7.586776592115476170e+00
-8.819212643483549385e-01,1.392180993262949560e-03,7.480443357041965946e-01,9.276713004399896045e-03,6.663438912965707672e+00
-8.700869911087113495e-01,1.596575865109147764e-03,7.712111211445560333e-01,9.417993521771111931e-03,5.898870030286348154e+00
-8.577286100002720071e-01,1.806758171664678237e-03,7.926623235696448333e-01,9.502261938782364040e-03,5.259288203482771706e+00
-8.448535652497071169e-01,2.021458126155154748e-03,8.126201682910014767e-01,9.539573003466680912e-03,4.719154396539941843e+00
-8.314696123025453467e-01,2.239471632748160114e-03,8.312672815016389771e-01,9.537827041018806865e-03,4.258963097163383615e+00
-8.175848131515836004e-01,2.459651819980730215e-03,8.487547709972241838e-01,9.503265708342749363e-03,3.863662991299746441e+00
-8.032075314806448318e-01,2.680903448934290889e-03,8.652085444184374197e-01,9.440859485422222613e-03,3.521521630767802780e+00
-7.883464276266062276e-01,2.902179251085202066e-03,8.807342324522182686e-01,9.354604370676743511e-03,3.223303442466110447e+00
-7.730104533627369934e-01,3.122477572014462077e-03,8.954210311831105606e-01,9.247747217157186936e-03,2.961669701022364265e+00
-7.572088465064843454e-01,3.340840901436009473e-03,9.093447139113357558e-01,9.122956674676956437e-03,2.730736645003216889e+00
-7.409511253549588838e-01,3.556355002769726915e-03,9.225700056456065390e-01,8.982453258828623083e-03,2.525747078633303833e+00
