# y, nut, U, k, epsilon
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.999247018391445030e-01,3.311223820064312934e-12,2.253736784951423412e-03,2.542842591914496316e-07,8.386175220782098728e-07
-9.996988186962042500e-01,2.150569180746088443e-10,9.013591198706292357e-03,4.068529590689116431e-06,1.321197832235864711e-05
-9.993223845883495438e-01,2.548032725992546403e-09,2.027540525069112046e-02,2.060924455841018675e-05,6.429879976959518165e-05
-9.987954562051724050e-01,1.520840640601236900e-08,3.603149282401736653e-02,6.527532580655362557e-05,1.917842267495259944e-04
-9.981181129001491792e-01,6.272914476932837971e-08,5.626762864820864657e-02,1.601011406646714568e-04,4.360719781070567262e-04
-9.972904566786902070e-01,2.053979882922829395e-07,8.095401659941951766e-02,3.345210794621747462e-04,8.349406359671842411e-04
-9.963126121827780013e-01,5.734390120686896549e-07,1.100229927258912777e-01,6.261094518253495058e-04,1.421344815621072583e-03
-9.951847266721968177e-01,1.419380984715272702e-06,1.433218744999179284e-01,1.079886861017727122e-03,2.222799932656790468e-03
-9.939069700023560605e-01,3.177317187290215761e-06,1.805296026763163475e-01,1.743152437894364849e-03,3.260744784778465185e-03
-9.924795345987099671e-01,6.491679269075109066e-06,2.210445775217736997e-01,2.651848160917311212e-03,4.538451563647331703e-03
-9.909026354277800097e-01,1.218209558030040644e-05,2.638956104036521144e-01,3.808068391522933388e-03,6.003083957819196556e-03
-9.891765099647810144e-01,2.109010362860743096e-05,3.077762118821381621e-01,5.159377886554650586e-03,7.531886810055871129e-03
-9.873014181578584347e-01,3.386204567664936134e-05,3.512692303716052900e-01,6.601359548948108544e-03,8.957369610284463338e-03
-9.852776423889412216e-01,5.082839770227777574e-05,3.931630554457474780e-01,8.011214358643312106e-03,1.012497951037229921e-02
-9.831054874312162850e-01,7.204963472082825189e-05,4.326567765020547518e-01,9.288758123635252467e-03,1.094500247741982298e-02
-9.807852804032304306e-01,9.744363574499378055e-05,4.693699587153945529e-01,1.037684497564781913e-02,1.140421161621070316e-02
-9.783173707196275437e-01,1.268887210404800851e-04,5.032331084374113139e-01,1.125823059448978827e-02,1.154409180570624416e-02
-9.757021300385284590e-01,1.602722079205028767e-04,5.343611971017067086e-01,1.194205402678090097e-02,1.143105706213352023e-02
-9.729399522055600658e-01,1.975020879126321511e-04,5.629587983306195698e-01,1.245076387306733728e-02,1.113444149647628556e-02
-9.700312531945439742e-01,2.385031817253520684e-04,5.892619708588823224e-01,1.281123849256927613e-02,1.071502564432160083e-02
-9.669764710448520706e-01,2.832095630675042215e-04,6.135069230318416222e-01,1.304986324112018987e-02,1.022113846284176952e-02
-9.637760657954398402e-01,3.315577253950412998e-04,6.359149812651059275e-01,1.319026980848463787e-02,9.688835118804301275e-03
-9.604305194155657865e-01,3.834815547897228662e-04,6.566865835924660111e-01,1.325259288049991137e-02,9.143757350635176029e-03
-9.569403357322088244e-01,4.389089818284916161e-04,6.759999467063193546e-01,1.325349160278898111e-02,8.603386559148126431e-03
-9.533060403541938621e-01,4.977599105988367474e-04,6.940119865920326703e-01,1.320650425076146280e-02,8.079114784220011933e-03
-9.495281805930366748e-01,5.599450487457197610e-04,7.108602040219679230e-01,1.312250989253973925e-02,7.577941008727002992e-03
-9.456073253805211687e-01,6.253653553316064918e-04,7.266648732578305792e-01,1.301018836690949476e-02,7.103777136474431070e-03
-9.415440651830206953e-01,6.939119100685741748e-04,7.415312099781397048e-01,1.287643265939813174e-02,6.658416247258320056e-03
-9.373390119125748488e-01,7.654660722076922106e-04,7.555513726121693141e-01,1.272669934810554716e-02,6.242232652759478750e-03
-9.329927988347388457e-01,8.398998415968034941e-04,7.688062432161612003e-01,1.256529758158338693e-02,5.854678864525816699e-03
-9.285060804732154782e-01,9.170763634071696585e-04,7.813669798982558756e-01,1.239562316959419257e-02,5.494633193484753896e-03
-9.238795325112867385e-01,9.968505366444210380e-04,7.932963542787510036e-01,1.222034621120439250e-02,5.160639567751011854e-03
-9.191138516900577704e-01,1.079069698407254547e-03,8.046498962303044733e-01,1.204156055753110438e-02,4.851070607335452624e-03
-9.142097557035306910e-01,1.163574363392842845e-03,8.154768704347520325e-01,1.186090247833797816e-02,4.564236604317659443e-03
-9.091679830905223803e-01,1.250199002974020784e-03,8.258211084571930316e-01,1.167964474251131750e-02,4.298456694614609733e-03
-9.039892931234433382e-01,1.338772851313416688e-03,8.357217178362454924e-01,1.149877119210868971e-02,4.052103816865913061e-03
-8.986744656939539277e-01,1.429120728080091962e-03,8.452136870334743257e-01,1.131903589197689151e-02,3.823631656116686234e-03
-8.932243011955152134e-01,1.521063868799284267e-03,8.543284024281155853e-01,1.114101010022802013e-02,3.611589336251540185e-03
-8.876396204028538239e-01,1.614420754947725302e-03,8.630940910935630539e-01,1.096511962339217702e-02,3.414627894834068762e-03
-8.819212643483549385e-01,1.709007936761701213e-03,8.715362009291003353e-01,1.079167457470929861e-02,3.231501349946489660e-03
-8.760700941954064902e-01,1.804640842447739106e-03,8.796777278579095416e-01,1.062089312225336299e-02,3.061064305733231326e-03
-8.700869911087113495e-01,1.901134568134666336e-03,8.875394982231457064e-01,1.045292047392882943e-02,2.902267436710702364e-03
-8.639728561215866964e-01,1.998304643513984947e-03,8.951404131872777725e-01,1.028784408014515005e-02,2.754151765443189123e-03
-8.577286100002720071e-01,2.095967768701930464e-03,9.024976608319209559e-01,1.012570582663493632e-02,2.615842350545050619e-03
-8.513551931052651955e-01,2.193942518430628662e-03,9.096269007329654821e-01,9.966511826897648391e-03,2.486541794383484005e-03
-8.448535652497071169e-01,2.292050010240816345e-03,9.165424250190385980e-01,9.810240296169557214e-03,2.365523835651427847e-03
-8.382247055548378567e-01,2.390114533904791512e-03,9.232572992842088544e-01,9.656847888823641077e-03,2.252127192342701263e-03
-8.314696123025453467e-01,2.487964139853682949e-03,9.297834861961367103e-01,9.506274802588128223e-03,2.145749752326708490e-03
-8.245893027850250689e-01,2.585431184914708559e-03,9.361319542000409166e-01,9.358448891195901911e-03,2.045843162337012636e-03
-8.175848131515836004e-01,2.682352834178075834e-03,9.423127733513495530e-01,9.213288978358586886e-03,1.951907835164213515e-03
-8.104571982525946572e-01,2.778571518306848474e-03,9.483352000030543794e-01,9.070707527443367529e-03,1.863488374529595872e-03
-8.032075314806448318e-01,2.873935346071595197e-03,9.542077518169436168e-01,8.930612790704709272e-03,1.780169404236451453e-03
-7.958369046088834553e-01,2.968298472333662490e-03,9.599382743525088912e-01,8.792910537665949225e-03,1.701571780440442987e-03
-7.883464276266062276e-01,3.061521422112167042e-03,9.655340003062158338e-01,8.657505442920933672e-03,1.627349161625459050e-03
-7.807372285720944882e-01,3.153471371749329375e-03,9.710016023212233449e-01,8.524302198190621127e-03,1.557184908974933168e-03
-7.730104533627369934e-01,3.244022388534037026e-03,9.763472401586885674e-01,8.393206401110022211e-03,1.490789289491839097e-03
-7.651672656224589586e-01,3.333055630453683315e-03,9.815766029125939651e-01,8.264125263299733348e-03,1.427896954885958828e-03
-7.572088465064843454e-01,3.420459508018387166e-03,9.866949468573126270e-01,8.136968172293613036e-03,1.368264670528506746e-03
-7.491363945234593702e-01,3.506129810339288916e-03,9.917071294382078239e-01,8.011647135456141308e-03,1.311669270406345652e-03
-7.409511253549588838e-01,3.589969797843662810e-03,9.966176398482320398e-01,7.888077128819247219e-03,1.257905815810814003e-03
-7.326542716724127047e-01,3.671890264174225600e-03,1.001430626575903426e+00,7.766176369553541917e-03,1.206785937349580265e-03
-7.242470829514667807e-01,3.751809569949352517e-03,1.006149922260693330e+00,7.645866527367280348e-03,1.158136341695477833e-03
-7.157308252838185947e-01,3.829653651154540581e-03,1.010779066149444017e+00,7.527072887344025617e-03,1.111797466235648268e-03
-7.071067811865474617e-01,3.905356004995927735e-03,1.015321324410964898e+00,7.409724474462261491e-03,1.067622266428198356e-03
-6.983762494089728046e-01,3.978857656073233641e-03,1.019779708534469975e+00,7.293754148188522600e-03,1.025475122197627102e-03
-6.895405447370669405e-01,4.050107105724781199e-03,1.024156992010360812e+00,7.179098674020597225e-03,9.852308510985233886e-04
-6.806009977954530221e-01,4.119060267361055946e-03,1.028455725468334192e+00,7.065698777614778589e-03,9.467738172502073238e-04
-6.715589548470184411e-01,4.185680390537297596e-03,1.032678250427457645e+00,6.953499186109409272e-03,9.099971261972628804e-04
-6.624157775901715617e-01,4.249937976420367809e-03,1.036826711795229006e+00,6.842448660414182648e-03,8.748018968890851647e-04
-6.531728429537768665e-01,4.311810687180842733e-03,1.040903069237360423e+00,6.732500021536556162e-03,8.410966029035320561e-04
-6.438315428897912751e-01,4.371283251688892930e-03,1.044909107526819980e+00,6.623610173435282890e-03,8.087964758739556647e-04
-6.343932841636453768e-01,4.428347369710832274e-03,1.048846445969249253e+00,6.515740124403625322e-03,7.778229648239823801e-04
-6.248594881423862324e-01,4.483001616592657487e-03,1.052716546992042757e+00,6.408855008571577236e-03,7.481032457784284962e-04
-6.152315905806267082e-01,4.535251350175449961e-03,1.056520723975938880e+00,6.302924108762595831e-03,7.195697766099145957e-04
-6.055110414043254341e-01,4.585108621413791150e-03,1.060260148400808511e+00,6.197920881631097112e-03,6.921598926060279619e-04
-5.956993044924333569e-01,4.632592089860053039e-03,1.063935856371267974e+00,6.093822985732292273e-03,6.658154387083036743e-04
-5.857978574564388641e-01,4.677726944830739794e-03,1.067548754582737791e+00,5.990612312924924014e-03,6.404824347878580043e-04
-5.758081914178453387e-01,4.720544832682983458e-03,1.071099625784463827e+00,5.888275023272469127e-03,6.161107706888206042e-04
-5.657318107836132315e-01,4.761083790194306845e-03,1.074589133792823947e+00,5.786801583381505701e-03,5.926539280948299980e-04
-5.555702330196019556e-01,4.799388183551707605e-03,1.078017828105815701e+00,5.686186807890912347e-03,5.700687265602846646e-04
-5.453249884220465749e-01,4.835508651911200884e-03,1.081386148167977623e+00,5.586429903596827964e-03,5.483150913008678646e-04
-5.349976198870970423e-01,4.869502053878996262e-03,1.084694427334041089e+00,5.487534515460648632e-03,5.273558405607442403e-04
-5.245896826784687272e-01,4.901431414583642954e-03,1.087942896579320085e+00,5.389508773497125177e-03,5.071564905701831435e-04
-5.141027441932216613e-01,4.931365870248566839e-03,1.091131688005189782e+00,5.292365339272986705e-03,4.876850762800539053e-04
-5.035383837257174644e-01,4.959380606328982893e-03,1.094260838188866991e+00,5.196121450461992086e-03,4.689119862117260775e-04
-4.928981922297839824e-01,4.985556784342441185e-03,1.097330291428113780e+00,5.100798961598123314e-03,4.508098098947710798e-04
-4.821837720791227189e-01,5.009981451494933610e-03,1.100339902933272995e+00,5.006424378845773966e-03,4.333531964831710786e-04
-4.713967368259976976e-01,5.032747426085583224e-03,1.103289442021164302e+00,4.913028886266275486e-03,4.165187232458371336e-04
-4.605387109582396721e-01,5.053953150468821348e-03,1.106178595367656836e+00,4.820648360708567476e-03,4.002847727215411502e-04
-4.496113296546067062e-01,5.073702502076930625e-03,1.109006970378063839e+00,4.729323372095553708e-03,3.846314174142784052e-04
-4.386162385385273810e-01,5.092104551680722881e-03,1.111774098736601601e+00,4.639099165526796090e-03,3.695403109850368918e-04
-4.275550934302822514e-01,5.109273256728298455e-03,1.114479440197841509e+00,4.550025621287643804e-03,3.549945849725622752e-04
-4.164295600976369860e-01,5.125327076302191830e-03,1.117122386683978341e+00,4.462157188561596474e-03,3.409787501514289576e-04
-4.052413140049897500e-01,5.140388493045770085e-03,1.119702266751506414e+00,4.375552788411296752e-03,3.274786017134812574e-04
-3.939920400610479878e-01,5.154583426424589991e-03,1.122218350489130767e+00,4.290275681449614263e-03,3.144811275409323779e-04
-3.826834323650897263e-01,5.168040521028830804e-03,1.124669854904890132e+00,4.206393295599340255e-03,3.019744189290489954e-04
-3.713171939518374876e-01,5.180890293440040123e-03,1.127055949854128158e+00,4.123977009472788030e-03,2.899475832157229834e-04
-3.598950365349881664e-01,5.193264121660454667e-03,1.129375764550502703e+00,4.043101887230160334e-03,2.783906578866870182e-04
-3.484186802494343982e-01,5.205293062446831286e-03,1.131628394689189188e+00,3.963846361336483340e-03,2.672945258503165843e-04
-3.368898533922199401e-01,5.217106484339819120e-03,1.133812910194393897e+00,3.886291860468653412e-03,2.566508317158456404e-04
-3.253102921622628707e-01,5.228830507984549673e-03,1.135928363581886646e+00,3.810522380957010943e-03,2.464518990632915503e-04
-3.136817403988914066e-01,5.240586250750017307e-03,1.137973798901396494e+00,3.736624001600835805e-03,2.366906488610380727e-04
-3.020059493192280842e-01,5.252487879899937762e-03,1.139948261193538537e+00,3.664684343477695155e-03,2.273605193647298441e-04
-2.902846772544621645e-01,5.264640487818164453e-03,1.141850806361958570e+00,3.594791978455530099e-03,2.184553880139963346e-04
-2.785196893850529487e-01,5.277137814122466811e-03,1.143680511324598026e+00,3.527035792467978804e-03,2.099694960245672133e-04
-2.667127574748983099e-01,5.290059852844634924e-03,1.145436484269790167e+00,3.461504312149937205e-03,2.018973765436069857e-04
-2.548656596045145162e-01,5.303470397950856528e-03,1.147117874805357429e+00,3.398285006039177859e-03,1.942337873849299163e-04
-2.429801799032638709e-01,5.317414596818358097e-03,1.148723883754412256e+00,3.337463574082892483e-03,1.869736494761500530e-04
-2.310581082806711373e-01,5.331916598080402823e-03,1.150253772323115431e+00,3.279123241467553958e-03,1.801119922193913361e-04
-2.191012401568696588e-01,5.346977396401030209e-03,1.151706870346300482e+00,3.223344074616892908e-03,1.736439069790458672e-04
-2.071113761922184493e-01,5.362572990840596548e-03,1.153082583309807951e+00,3.170202338370117084e-03,1.675645098542158503e-04
-1.950903220161281926e-01,5.378652983865234334e-03,1.154380397856382245e+00,3.119769913666478513e-03,1.618689147630741161e-04
-1.830398879551409230e-01,5.395139752922951601e-03,1.155599885507212488e+00,3.072113794363041071e-03,1.565522176590826669e-04
-1.709618887603012449e-01,5.411928324035637609e-03,1.156740704374825679e+00,3.027295679996984661e-03,1.516094924179644816e-04
-1.588581433338612792e-01,5.428887065412326025e-03,1.157802598704824604e+00,2.985371678346284210e-03,1.470357985887723717e-04
-1.467304744553616369e-01,5.445859297482236704e-03,1.158785396162286707e+00,2.946392127609883966e-03,1.428262008075548064e-04
-1.345807085071261122e-01,5.462665883462025120e-03,1.159689002870123442e+00,2.910401543084902964e-03,1.389757992484735329e-04
-1.224106751992161540e-01,5.479108822008245221e-03,1.160513396306763534e+00,2.877438687621704325e-03,1.354797700590127123e-04
-1.102222072938830594e-01,5.494975812132811555e-03,1.161258616273203703e+00,2.847536759221353658e-03,1.323334143191307564e-04
-9.801714032956064526e-02,5.510045702986518697e-03,1.161924754238347290e+00,2.820723683287378308e-03,1.295322137042612023e-04
-8.579731234443975507e-02,5.524094681021649023e-03,1.162511941459998255e+00,2.797022491653313684e-03,1.270718907414921522e-04
-7.356456359966732916e-02,5.536902988955602102e-03,1.163020336350801154e+00,2.776451765956656700e-03,1.249484713447170786e-04
-6.132073630220852972e-02,5.548261919882509219e-03,1.163450111608794080e+00,2.759026119540938706e-03,1.231583472095178937e-04
-4.906767432741800800e-02,5.557980790822044694e-03,1.163801441657426938e+00,2.744756690080090832e-03,1.216983356467294714e-04
-3.680722294135886641e-02,5.565893577405603941e-03,1.164074490938095341e+00,2.733651614672899955e-03,1.205657345332362322e-04
-2.454122852291214241e-02,5.571864888625908258e-03,1.164269403569213157e+00,2.725716460283342246e-03,1.197583702522040327e-04
-1.227153828571982304e-02,5.575794979393474543e-03,1.164386294831204927e+00,2.720954585036077563e-03,1.192746367710830163e-04
6.123233995736766036e-17,5.577623538936974344e-03,1.164425244859446318e+00,2.719367409856186628e-03,1.191135243501007158e-04
1.227153828571994447e-02,5.575794979393512707e-03,1.164386294831203816e+00,2.720954585036133942e-03,1.192746367710871498e-04
2.454122852291226384e-02,5.571864888625978514e-03,1.164269403569211159e+00,2.725716460283454136e-03,1.197583702522123404e-04
3.680722294135899131e-02,5.565893577405703688e-03,1.164074490938092010e+00,2.733651614673065187e-03,1.205657345332486463e-04
4.906767432741812596e-02,5.557980790822184339e-03,1.163801441657422275e+00,2.744756690080312009e-03,1.216983356467460055e-04
6.132073630220864768e-02,5.548261919882690497e-03,1.163450111608788529e+00,2.759026119541214527e-03,1.231583472095384936e-04
7.356456359966745406e-02,5.536902988955821545e-03,1.163020336350794270e+00,2.776451765956985864e-03,1.249484713447417713e-04
8.579731234443987997e-02,5.524094681021907496e-03,1.162511941459989817e+00,2.797022491653695757e-03,1.270718907415208836e-04
